lemma,semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,car
kupri-,desire (already in PIE) → plot (out of desire); desire → love,desire,love,"*kéu̯p-/kup- ‘to desire, plot (out of desire)’ ",*keu̯p-,"Vedic kopáyati ‘moves, shakes, agitates’ (RV), Sanskrit (epic) kupyati ‘is excited, agitated, boils with rage, is angry’,Gk. , Κύπρις, -ιδος ‘Cypris (a name of Aphrodite)’, Lat. cupiō, to desire, OIr. ad·cobra ‘desires, wishes’, Goth. hiufan, OE hēofan, OHG hiofan, hioban), OE hēof, hēaf ‘grief, sorrow’, ON hjúfra ‘to wail, weep’. Toch. B kāwā- ‘desire, crave’, kāwo, obl. kāwa ‘desire’; Toch. A kāpā- ‘well up, be greedy’Toch. B kāwo",to desire,"(GK) kup- ‘to plot, scheme’; kupiyat(i)-;
kupiyatalla/i-, kukupalatar; †kupiyatar","kup- 'plan, premeditate, scheme, plot, conspire, practise deceit', kup(i)yati- (c.) 'premeditation, scheme, plot', kupiyatalli- 'scheming, plotting, conspiring', kukupalalar (n.) 'advance plotting, malice aforethought, premeditated deceit' kupiškezzi?",,*kup- ‘to desire’,,"*kup- ‘to desire’ kupri-(ti) ‘to love, choose kuprime- ‘chosen (sacrifice",
kurkuriya-,a ball (made from a cut-off piece?) → a scarecrow → to be afraid — development within the Hittite language,fear,"fear, tremble",PHitt. ku̯er-/kur 'cut' (Hitt.) OR onomatopeia with reduplication,,The similar metaphor: Arm.kosfkocjel- 'smash',to scare,,kurkuriye-,,,,,
kurur-,to be savage → to rage → to be hostile ,enmity,hostile,kūr,*ĝhuh1r-ur-,"Ved. hvarate 'deviate', Avest. zurah- 'iniquity'",hostile  ,,"kūrur- (n.) ‘enmity, hostility, war(fare)’, kūrura- (c.) ‘enemy’:",,,,,
kuwaya-,"[two → to doubt, to be of two minds] → to be surprised, to be frightened, fear → to be afraid",fear,"fear, reverence","PLuw. *du̯ai̯a- ‘to fear’; PA*du̯ói̯-/du̯i-´ ‘to fear’, with the transition  *dw- > *tw- > kw- ","*du̯ei̯- ‘to get frightened, fear’ ","OAv. duuaēθā- . ‘threat; Gk. , δεινός  ‘fearful, terrible, monstrous’, also ‘awesome, strong, extraordinary’ δειλός δεῖμα n. ‘fear’ , Δεῖμος m. ‘Fear’ (personified, Il.), δέος n. ‘fear, alarm, affright’ Arm. erkea-/erki- aor. midd. ‘to be afraid’","to fear, revere; respect; frightened; to worry, to be concerned","CL duwayā-(i) ‘to fear, revere’; /kwaya-(i)/, kwa/i-i(a)-; kuwayanta-; kuwayant(i)-; /kwayada-/, kwa/i-ia-ta-; kuwayata-(i)/kwissa-(i)/, kwa/i-sà-; /kwissant(i)-/, hwa/i-sà-ta-; GK kuwayamma/i- ‘fearful’","k(u)waya-; kuwaya-, k(u)wayata- (CL)",,,,,
laḫlaḫḫiya-,"noisy agitation in men and birds or animals (onomatopoeic) → fluster and fuss → nervousness, anxiety",distress,anxiety,*lalh-,*leh2-,,to be anxious,"/lalhiliya-/, la+ra/i-hi-ri+i-ia-",laḫlaḫḫiya- (v.); laḫlaḫḫa- (n.) ,,,,,
law-,"to admire, to be in raptures, to revere → respect",love,respect,"PLuw *lau̯- ‘to show reverence, honor (?)’",*lau̯-,"Lat. laus, laudis ‘praise’ laudāre ‘to praise, speak well of; to name’ OIr. lúaidid ‘to celebrate, mention’
PGerm. *leu̯þa- ‘song’, cf. Goth. compound awi‑liuþ n. ‘acknowledgements’, ON ljóð ‘stanza of a song’, OE lēođ ‘song, poem’, OHG liod ‘song, praise’
","to show reverence, respect (?)",,,,lawa-(d)  ti[be (3–4 знака)]; lo-(d) ‘to honor (?)’; *láu̯-tori > Lyd. lodaλ,"*law- ‘to show reverence, honor (?)’",,
lēlaniya-,"go up the stairs → escalate, get tension up → be angry",anger,anger,*ila(n)- + reduplication,,Gk. ελαω- 'drive; harass,to anger,,lēlaniya-,,,,,
lila-,"to let go, to release → to relax → to calm, to soothe",comfort,peace,"PLuw lí-lEH-eh2- ‘pacification, soothing’","*leh1- ‘to diminish, permit, let'","Latin lētum n. ‘death’ lēnis ‘soft, mild, easy, calm, moderate’, PG. *lēwijana- ‘to betray, deliver’. Lith. liáuti (liáuja/-na, lióvė) ‘to cease; to stop sinning; to repent’, Latvian ļaũt ‘allow, permit; grant freedom of action’, lȩ̄̀ns ‘slow, calm, gentle, mild Old Prussian aulāut ‘to die’; Proto-Slavic *lě̑nъ ‘lazy, slow’ (Old Church Slavonic lěnъ, ; Albanian lë ‘to let, leave (behind), allow, quit’",to appease,"(CL) līla- ‘pacification(?), soothing(?)’",lela(e)-; lilaresk-; lila- (CL),,,,,
lumpašti-,"to tear (one’s clothes, in a mourning ritual) → to grieve",distress,sorrow,*lup-,*leu̯p-,"Skt. lumpati 'break, plunder', lopayati 'wound', Lith. laupyti 'strip, rob' and OCS lupiti","regret, sorrow, grief",lumpašti- (CL),lumpašti- (CL),,,,,
luriyaḫ-,loss → betrayal → humiliation,enmity,oppression,,"*léh1u-ri-s, *léh1u-ri-m, *lh1u-réi-s ?","Goth. lewjan ‘to betray’, Lith. liáutis ‘to stop’, Ukr. livýty ‘to omit, to neglect’",humiliation,,"luriyaḫ- 'to humilate, embarrass'",,,,,
markia-,"to hurt, to damage → to disapprove of",enmity,disapproval,*mork-iye/o- 'hurt',*mork-iye/o- 'hurt',Lat. murcus ‘mutilated’. Skt. marcáyati < *morkéyeti 'make hurt' ,to disapprove,,markie/a-zi,,,,,
markištae-,surprise,fear,surprise,*m(e/o)rḱ-es-to- ,*merḱ- Rieken (1999a: 224),"Skt. marś- ‘to touch, to handle, Lat. mulceō ‘to brush, to stroke ( PIE *melḱ)-,",surprise,,"markištae-, markištaḫḫ-",,,,,
milit-,"honey → sweet → dear, beloved",comfort,honey-sweet,*melit- ‘honey’,*melit,"Gk. μέλι ‘honey’; Lat. mel; Arm. mełr, OIr. mil ‘honey’, OW, MW mel; Goth. miliþ, OE. mildēaw, meledēaw ‘honeydew’, OS milidou OHG militou, Alb. mjaltë ‘honey’",honey; sweet,"(HL) */mallid-/ ‘honey’; /mallidi-(ti)/ '(pass.) provided with honey, (metaphorical) very attractive (vel sim.)', ma-li-ri-i-mi-; maliddu; (CL) mallit- ‘honey’ (Čop's Law)",militess-; milit(t)- ‘honey’,*malit- ‘honey’,,mlttaime/i- honey-sweet’3116; *mltt- ‘honey’,,
mimma-,to think → to regard with favor,mercy,,*mnā-,*mnéh2‑/*mn̥h2‑´ ‘to think of’,"Ved.  ā-mnāta- ‘mentioned, cited’, Gk. μιμνήσκω ‘think of, commemorate, take care of, remember, remind’, μνάομαι ‘to be mindful of; to woo, court, win’","to regard, to look upon with favor",,"mimma- ‘to regard, to look upon with favor, manā- ‘to see, look upon",,,,,
miya-,"to grow, ripen → (resultative) grown, ripe → soft, sweet → soft, gentle, pleasant (easy)",mercy,kindness,*mih1‑Éu̯‑/‑u‑´ ‘soft’,*mei̯h1-,"Lat. mītis ‘sweet and juicy (of fruit), soft (of material), gentle’; OIr. moith, maeth, moeth ‘soft, tender, yielding; BSl. *m(e)iHró- ‘peace’, cf. OLith. mieras, Latv. miêrs ‘peace’; Alb. mírë ‘good","gentle, mild,  to regard well, favor",mīyawa/i-;  mīlušga/i; CL *mī- ‘soft’,"miyu-/-aw- ‘gentle, mild’; mi-u2-mar, miye-/miu- 'soft as a butter'; mīnu- ‘to soften’; mi-nu-mar 'words of  mercy'",,"*mi- ‘soft’, derivative *miwa- ‘soft’",,,
mlu-,"to speak → to care for, to take care of",love,care,malu,*mleu̯h2- (verbum dicendi) > *ml̥u̯h₂-,,to take care of,"HL. malwa/, ma-lu-wa/i ‘(unknown)’??",malаi- ??,,,mlu-; mluhidaza- ‘(a title)’; mlu- ‘to take care of’,,
naḫḫ-,"to turn one’s back → to be afraid, to be frightened",fear,"fear, reverence",*nóh2-/nh2(-u)-,*neh2-,"Gk. νῷτον ‘back’,  Lat. natis ‘buttocks’",to fear; fear; terror; terrified; to be of concern; fearsome,"/nahhassa-(i)/, (COR)na-ha-sa5-; /nahh(i)-/, (“COR”)na-hi-; /nahhutt(i)-/, na-hu-ti-; */nahh(uw)a-(i)/; naḫḫuwašša/i- ","nāḫ-/naḫḫ-(i)- 'to fear' , HUS; naḫḫuwa- 'anxiety' (Luw.) našaratt- (c.) ‘fear,",naḫḫir,,,,
nakki-,"to weigh a lot, to be heavy (physically) → to carry weight (figuratively) → to be important (shift: heavy burden → heavy → important); weight, heaviness → strength → power, influence → importance → respect, esteem, attentiveness, love",distress / respect,anxiety,*nakki- (from Instr.) ,"*h1nek̑-, *h1nok̑-","Gk. ἐνεγκ-ε/ο-, ἐνήνοχα, carry,  Lith. naštà  'weight, burden'","to trouble, worry; to weigh on someone; to be difficult; honoured, revered; hence valuable, important; to treat with respect, show respect",,"nakkiyaḫḫ-; nakki- 'important'; nakkiyaḫḫ-, nakki-: nakkušatar, nakkušann-; nakkiya-; nakkešš- (together with a synonym dassu- can be written DUGUD)",,,,,
nū-,"to desire → to ask for → to receive → consent, favour",comfort,obedience,*nu- (tentative),*neu̯d- ‘to use’ or *neu̯dh- ‘to desire’ ?,"Goth. niutan 'catch, gain; enjoy', ON njóta 'use, enjoy', Lith. naudá 'gain, profit'",obedience; contentment,nū(t)-; ,"nū-n (nū-s, nū-t)",,,,,
pašku-,"to push away → forsake, abandon → neglect → be unfriendly",enmity,hostile,*paskw-,ph2eu̯- ‘little’,"Lat. paucus, Gr. παῦρος ‘little’ ",aloofness; unfriendliness,puškantatar; puškant(i)-; HL paskw- ‘to neglect’; pa-sà-REL-i (/paskwi/) ‘neglects’,"puškant(i)- ‘aloof (?), unfriendly (?); ’paškuwae-, pašku- (ант  (ḫuišnu-) 'aloofness'; V pašku- ‘to reject, to ignore; to neglect; to remove’ (EDHIL 651-652); V pasku(wai)- ‘abandon, forsake, dismiss, disown, discharge’ (HED Pa:190-192)",,,,,
pittuliya-,"to spread out → to spread out one's arms → to hug → to intertwine → a loop, to tighten (physically) → metaphorical shift → a difficult state, depression, feeling of being constrained by circumstances → (physical, in the body) restlessness → fear",fear,"fear, tenseness; anxiety",*peth2-ul-,*peth2- ‘to spread out,"Goth. faþa ‘fence, Slav. petъlja loop",fear of a body; anxiety,,pittuliya-,,,,,
