lemma,semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,car
tekri-,express praise or blame → shame,enmity,shame,*do/ei̯ḱ-ri-,*dei̯ḱ-,NPhryg. (-)τετικμενος; PGmc. *teihan ‘to accuse’,"condemnation, shame",,"tekri ‘derogation, condemnation’",,,,,
tepnu-,to despise ← to diminish → small,enmity,oppression,*tep-,*dhébh-u-,"Skt. dabhrá- ‘little, small, deficient’, dabhnóti ‘to deceive, to hurt’, GAv. dəbənao- ‘to deceive’",to diminish; to despise,"tāpa/i- ‘bad, shoddy, of minor value (?)’, (cf. Hitt. tēpu- ‘small’ for a possible etymological connection assumed here); tapašša- ‘illness (?)’, taparu- 'humiliation'",tepnu-; tepawesk- 'humiliate'; tēpu-/tēpau̯- 'small',,,,,
tiwataniya-,god → Sun-god (Tiwat) → to call Tiwat (the Sun-god) as witness → swear → curse,enmity,curse,*di̯éu̯-/diu̯-´ ‘god’,*di̯éu̯‑/*diu̯‑´*dheu̯-,"Ved. dyáv-, div-´ ‘heaven, day; god of heaven, father heaven’ Gk. (Hom.). Ζεύς m. god name, Arm. tiw ‘day’,, Lat. Iuppiter, Iouis OIr. die,. ‘day’, OW did  ‘day’","to swear, curse; swearing, cursing",tiwataniya-(ti); tiwataniya-; tiwataniyama-; tiwataniye/a-(mi); tiwatani-(ti) */tiw-/ ‘deity’,šiu(n)- c. ‘god’,*tiu(n)- ‘god’,ciw- ‘god’,,ziwi ‘divinity (vel sim.)’,
un-,"to honour → to hold dear, to cherish → to love",love,love,,"*u̯enH- ‘liebgewinnen’, *u̯en- ‘überwältigen","Ved van- ‘to love; to honour, worship","loving, beloved",, ,,,,,*ynem < *un-
wai-,onomatopoeic (wow! oi-wei! ← wai-),distress,wail,*u̯āi̯-! ‘woe’ ,*u̯āi̯-! ,"Av., Gk., Lat., Celt., Germ., Balt., Alb.) attest an interjection PIE *u̯ai̯!, which expresses pain, sorrow, grief, etc., thus ‘alas!’",to wail; to scream; to yell,"/wai-/, wa/i-i; waḫra-, waḫri-(ti); wiwai-; (GK) uwai- ‘to make someone feel sorry for oneself’; (CL) (u)wāi- ‘woe’ uwai-to make someone feel sorry for oneself",wai-/we-/wesk-/wiya-; waḫra- (CL); wiyai-; (u)wāi- ‘woe’,,,,,
waršiya-,drop → humidity → steam → smell → pleasant smell → pleasant → soothing,comfort,appeasement,*h1u̯ors -(o-),"*h1u̯érs-s, *h1u̯érs-m̥, *h1u̯r̥s-ós","Skt. varṣá- ‘rain, Gr. ἐέρση ‘dew’",to appease,aršulāi-zi ‘to appease (with pleasant aroma) (or sim.?)’,"(GK) arsulai-; a similar verb *waršulāi-zi ‘appease’ (or sim.); waršula- ‘drop, humidity’, which is also attested with a secondary meaning ‘pleasant (appeasing) aroma’; warsiya- to appease  warsul- “calming” from wars(iya)- “to be satisfied”; a denominative warsulai- “to satisfy, set at ease”; waršiyatar (c.) ‘reconciliation(?)’: warša- (c.) ‘fog, mist’: ",,,,,
wašt-,"to leave, abandon → defiecient → defective → not right → sin",enmity,offence,*u̯eh2š-dē- (assimilation is possible h-s > ss?) ,*h1u̯eh2-š-dheh1,"Ved. ūná- ‘wanting, deficient, defective’, Av. ūnā- ‘deficient (offering)’, Arm. ownayn ‘empty’, Lat. vānus ‘empty’, Proto-Germ. *wanaz ‘deficient, lacking (in)’ (Goth. wans, ON vanr, OHG wan)","sin, failure; offense; sinful, offensive (deed)",wašku(i)-; waškui(t)-; wašku(wa)llimma/i; waškuwan-; wašt(a)-,"waštul- (var. uštul-) wašta-/wašt-(ḫi) ‘to sin, offend’; wašku(i); waštul- /waštanu-",,,,,
wāšu-,good → pleasant → dear,love,dear,"*u̯ósu-/u̯ésu- ‘good’; *u̯és-o/to- ‘to be pleasant, favored’",*h1u̯es- is ‘to become/be good’,,"to be dear; good, well; wellness, pleasentness (vel sim.)","/wass-/, (BONUS)wa/i-sa- ‘to be dear, be respectful’; wašš- ‘to be dear’, derivative - wašumman; wāšu- ‘good’; GK wašš- or waššā- ‘to be pleasant; favoured’, /wasu-/ ‘good, dear’",,"wāšu- ‘good, well, nicely’; *waš- ‘to be dear’","wisw(i)- ‘pious, holy’; *wes-/wis- ‘to be dear’, wesfa- wisw(i)-  niwisw(i)-  pious, holy, inholy, impious",,*wes- ‘to be dear’,
wēkk-,"wish → demand, ask for",desire,desire,"*u̯ek̑(-i̯e/o)- ‘to request, wish’",*u̯ek̑-,"Ved. vaś- ‘to wish, want’ ( Av. vas- ‘to wish’ Gk. ptc. ἑκών ‘readily, wittingly,",to wish; to request,"*/wazz-; wazz(a)i-(di)(?)/, (“*69”)wa/i-zi-; /wazza-/, (“*69”)wa/i-za-; wazzaimma/i-; wazzi-(ti) ","wēkk-/wek-(mi) ‘to request, wish; to ask for’; wewak 'repeatedly demand' (= Ved. vavaś); wesk, uekuwar 'demand' (abl. old heterocl. wekuwarraz ← *-wer/-wen",,,"*wezz- , wezzeime/i- ",,
werite-,"*u̯er-eh1- 'notice, attention' + *deh1- 'put' → to focus attention (on something) → to be wary of something → to be afraid of something (→ “to frighten, to scare”)",fear,"fear, horror",*u̯er-eh1- + suffix *deh1-,*u̯(e)rh1-i- + *dheh1- ,"Lat. vereor ‘show respect, OIr. cóir, coair ‘proper, just’, Wel. cyweir ‘prepared’ < Proto-Celt. *ko(m)-wari-; Goth. wars (hapax legomena), OIsl. varr, OEng. wœr- ‘accurate, attentive’ (Proto-Germ. *wara-), Goth. warei ‘sly’, OEng. waru, OHGerm. wara ‘attention’.",fright,,werite-/warite-; uritema-,,,,,
zammurāi-,to cover oneself → to feel shame,enmity,shame,,"*(s)k̑em- ‘to cover, to conceal (oneself)’","OE sc(e)amu ‘shame; disgrace’, OHG scama, German Scham, English shame","to be disgraced, to feel shame",(*)zammurā- ‘insult’,"zammurāi-, (GK)zammurai- (n.), (GK)zammuratt(i)- (c.), zammurinu- 'to cause to be humiliated'",,,,,
zartiya-,Hitt. and PIE heart → be angry; Luw. heart → wish for,desire,desire,"*k̑ḗr, k̑érd-, *k̑r̥d- ‘heart’","*k̑ēr, *k̑r̥d","Ved. hŕ̥d- n. ‘heart’  OAv. zərəd- n. ‘heart’ Gk. κῆρ n. ‘heart’, Arm. sirt ‘heart’ Lat. cor, OIr. cride n. ‘heart, middle, love’ Goth. haírto n. ‘heart’,; Lith. širdìs Latv. sir̂ds f. ‘heart, courage, wrath’, Pol. serce TochA kri ‘will’, TochB käryāñ nom. pl. ‘hearts’",to wish; to contrive,"/zarti-(ti)/, (COR)za+ra/i-ti-; zartiya-/wish, (COR)za+ra/i-ti-ia- ", ,kārti- ‘heart’,,,,
